level,word,quiz_sentence
3,abbreviate,The editor asked her to <blank> the manuscript to fit the column.
3,abbreviate,We can <blank> the word 'approximately' to 'approx.' in the table.
3,abbreviate,The secretary had to <blank> the long names on the badges.
3,abbreviate,He learned to <blank> common phrases when taking notes in lectures.
3,abbreviate,The system was designed to <blank> file names longer than twenty characters.
3,abbreviate,She chose to <blank> her signature to a single initial.
3,abbreviate,The style guide allowed writers to <blank> certain titles after first use.
3,abbreviate,They had to <blank> the document for the summary slide.
3,abbreviate,The form required her to <blank> the address to fit the box.
3,abbreviate,He refused to <blank> the legal term in case it changed the meaning.
3,aberrant,The <blank> result was checked three times before being reported.
3,aberrant,His <blank> behaviour at the dinner party embarrassed his wife.
3,aberrant,The <blank> reading from the sensor suggested a fault in the equipment.
3,aberrant,She was concerned by the <blank> pattern in the data.
3,aberrant,The <blank> response to the treatment puzzled the doctors.
3,aberrant,His <blank> views had isolated him from his colleagues.
3,aberrant,The <blank> weather had damaged the crop in ways no one had seen before.
3,aberrant,She noted the <blank> spelling and marked it for review.
3,aberrant,The <blank> outcome was put down to experimental error.
3,aberrant,His <blank> conduct led to his dismissal from the board.
3,abhorrent,She found the proposal <blank> and said so in the meeting.
3,abhorrent,The <blank> crime had shocked the whole community.
3,abhorrent,His <blank> remarks were struck from the record.
3,abhorrent,The idea of cruelty to animals was <blank> to her.
3,abhorrent,They considered the practice <blank> and campaigned to end it.
3,abhorrent,The <blank> conditions in the prison were exposed by the press.
3,abhorrent,She made it clear that such behaviour was <blank> in her team.
3,abhorrent,The <blank> policy was reversed after the outcry.
3,abhorrent,His <blank> attitude towards the poor was widely condemned.
3,abhorrent,The <blank> treatment of the prisoners was later investigated.
3,abrasive,His <blank> manner had lost him several clients.
3,abrasive,The <blank> cleaner was too strong for the delicate surface.
3,abrasive,She had an <blank> way of giving feedback that upset people.
3,abrasive,The <blank> paper was used to smooth the wood.
3,abrasive,His <blank> tone made the interview uncomfortable.
3,abrasive,She found the <blank> texture of the fabric unpleasant.
3,abrasive,The <blank> comment was not intended to offend.
3,abrasive,His <blank> wit could be entertaining but also hurtful.
3,abrasive,The <blank> substance had scratched the lens.
3,abrasive,She tried to be less <blank> in her emails.
3,abundance,The <blank> of wildlife in the reserve delighted the visitors.
3,abundance,She was grateful for the <blank> of help that was offered.
3,abundance,The <blank> of rain that spring had filled the reservoirs.
3,abundance,There was an <blank> of food at the harvest festival.
3,abundance,The <blank> of evidence made the verdict inevitable.
3,abundance,She had an <blank> of energy that morning.
3,abundance,The <blank> of flowers in the meadow was breathtaking.
3,abundance,They had an <blank> of time to complete the task.
3,abundance,The <blank> of goodwill helped the appeal succeed.
3,abundance,He wrote with an <blank> of detail that brought the period to life.
3,abundant,The harvest was <blank> that year and the barns were full.
