level,word,quiz_sentence
1,Abate,"By sunset the furious wind began to <blank>, and the campers crept out of the tent."
1,Abate,Her panic <blank> once she saw her little brother safe at the gate.
1,Abate,The crowd’s shouting did not <blank> until the singer waved goodbye.
1,Abate,"After the rain stopped, the river slowly <blank> and the footbridge reappeared."
1,Abate,His anger would not <blank> until he read the apology note.
1,Abate,The pain did not <blank> until the nurse gave her medicine.
1,Abate,The traffic noise <blank> as the cars moved away from the village.
1,Abate,The pupils’ chatter slowly <blank> after the final bell rang.
1,Abate,"The smoke took hours to <blank>, and the firefighters watched it closely."
1,Abate,Her fear <blank> when the guide promised they were nearly home.
1,Abduct,"The villain tried to <blank> the mayor’s son, but the police arrived in time."
1,Abduct,"A strange van stopped, and the children screamed as someone tried to <blank> their friend."
1,Abduct,The detectives searched the harbour after the sailor was <blank> in the night.
1,Abduct,She clutched her bag when she heard the plot was to <blank> the witness.
1,Abduct,The hero dashed in to stop the gang from <blank> the scientist.
1,Abduct,News spread that pirates had <blank> the captain and demanded a ransom.
1,Abduct,The guard chased the men who tried to <blank> the prince from the parade.
1,Abduct,The story told how smugglers planned to <blank> the elephant for a circus.
1,Abduct,They hid the jewels because a thief had tried to <blank> the collector’s daughter.
1,Abduct,The villagers locked their doors after a traveller was <blank> on the lonely road.
1,Abhor,She said she would always <blank> cruelty to animals.
1,Abhor,He learned to <blank> lying after his promise was broken.
1,Abhor,The students began to <blank> the bully’s sneering remarks.
1,Abhor,The old sailor came to <blank> the stormy sea that had taken his friend.
1,Abhor,The judge made it clear that she would <blank> any form of cheating.
1,Abhor,"After the accident, he started to <blank> reckless driving."
1,Abhor,She had grown to <blank> the hateful messages left on the wall.
1,Abhor,The villagers <blank> the greedy trader who cheated them.
1,Abhor,"I <blank> the idea of stealing, even for a joke."
1,Abhor,They <blank> the war because it tore families apart.
1,Ablest,"Of all the pupils, Maya was the <blank> at solving the puzzle."
1,Ablest,The coach chose the <blank> runner to lead the relay team.
1,Ablest,They called in the <blank> carpenter when the roof began to sag.
1,Ablest,"He was known as the <blank> sailor, so he took the night watch."
1,Ablest,"Among the brothers, the <blank> at chess always went first."
1,Ablest,The headteacher asked the <blank> writer to read the poem aloud.
1,Ablest,The village trusted the <blank> guide to lead them through the fog.
1,Ablest,"She was the <blank> swimmer, so everyone watched her dive."
1,Ablest,The king relied on the <blank> adviser during the crisis.
1,Ablest,They sent the <blank> climber to secure the final rope.
1,Abode,"After months on the road, they finally returned to their <blank> by the canal."
1,Abode,The stray cat crept into the warm <blank> and curled up by the fire.
1,Abode,"His <blank> was a tiny flat above the bakery, smelling of fresh bread."
1,Abode,"We found his <blank> at the end of the lane, hidden behind tall hedges."
1,Abode,She invited us to her <blank> where the garden was full of roses.
1,Abode,The traveller described his <blank> as a cottage with a blue door.
1,Abode,"Their <blank> stood on the hill, overlooking the sea."
1,Abode,The letter told of a new <blank> in the city near the park.
1,Abode,They built a simple <blank> from timber and hoped it would last the winter.
1,Abode,The old man’s <blank> was filled with photos and stories.
1,Absurd,It was <blank> to think the cat had opened the locked cupboard.
1,Absurd,The plan sounded <blank> once she explained that a donkey would pull the float.
1,Absurd,He laughed because the rumour was so <blank> that no one believed it.
1,Absurd,The teacher called it <blank> to wear a snorkel in the classroom.
1,Absurd,"Her excuse was <blank>, claiming the wind had eaten her homework."
1,Absurd,They found the idea <blank> when he suggested camping on the school roof.
1,Absurd,It seemed <blank> to take a canoe across the car park.
1,Absurd,"The story was <blank>, with a squirrel driving a bus."
1,Absurd,The judge said it was <blank> to blame the clock for being late.
1,Absurd,The posters looked <blank> with upside-down faces and glitter everywhere.
1,Abyss,They peered into the <blank> and saw nothing but darkness.
1,Abyss,The rope dangled over the <blank> as the climber checked his harness.
1,Abyss,A cold wind rose from the <blank> at the bottom of the cave.
1,Abyss,The bridge swayed above a deep <blank> filled with mist.
1,Abyss,"He froze at the edge of the <blank>, afraid to step closer."
1,Abyss,The lantern light vanished when it fell into the <blank>.
1,Abyss,She heard stones rattle as they dropped into the <blank> below.
1,Abyss,The explorers marked the <blank> on their map before turning back.
1,Abyss,They shouted into the <blank> and waited for the echo.
1,Abyss,"The goat stood still, staring into the <blank> beyond the cliff."
1,Acclaim,The young pianist won <blank> after her brilliant concert.
1,Acclaim,His new book earned <blank> from teachers across the county.
1,Acclaim,The inventors received <blank> when their clean-water device worked.
1,Acclaim,The actor stepped onto the stage to loud <blank>.
1,Acclaim,The village gave <blank> to the firefighters for saving the farm.
1,Acclaim,Her painting brought <blank> at the school exhibition.
1,Acclaim,The team’s comeback victory brought them <blank> in the local paper.
1,Acclaim,The chef gained <blank> when his soup won the fair’s prize.
1,Acclaim,The scientist’s discovery drew <blank> from around the world.
1,Acclaim,She accepted the medal with <blank> echoing through the hall.
1,Accuse,He refused to <blank> his sister without any proof.
1,Accuse,The detective would not <blank> the gardener until the clues matched.
1,Accuse,"She was quick to <blank> her brother, but the cake was still in the oven."
1,Accuse,The crowd began to <blank> the coach after the lost match.
1,Accuse,"They tried to <blank> the new pupil, but the teacher stopped them."
1,Accuse,The judge told the lawyer not to <blank> the witness without evidence.
1,Accuse,He dared not <blank> his friend when he had no facts.
1,Accuse,"The villagers started to <blank> the baker, yet the stamps proved his innocence."
1,Accuse,She would not <blank> anyone until she checked the timetable.
1,Accuse,"The rumour was to <blank> the postman, but the parcel was found."
1,Acquire,She worked weekends to <blank> the bicycle she wanted.
