4,ventriloquist,The <blank> had entertained the children for an hour.
4,ventriloquist,She had been amazed by the <blank>'s skill.
4,ventriloquist,His <blank> had been the highlight of the show.
4,ventriloquist,The <blank> had made the dummy seem alive.
4,ventriloquist,She had always wanted to be a <blank>.
4,ventriloquist,The <blank> had thrown his voice across the room.
4,ventriloquist,His <blank> act had been booked for the gala.
4,ventriloquist,The <blank> had kept the audience guessing.
4,ventriloquist,She had met the <blank> backstage.
4,ventriloquist,The <blank> had been a master of the art.
4,veracity,She had questioned the <blank> of the report.
4,veracity,The <blank> of his statement had been verified.
4,veracity,His <blank> had never been in doubt.
4,veracity,The <blank> of the witness had been attacked.
4,veracity,She had sworn to the <blank> of the account.
4,veracity,The <blank> had been the key to the case.
4,veracity,His <blank> had been proved over the years.
4,veracity,The <blank> of the document had been confirmed.
4,veracity,She had had no reason to doubt his <blank>.
4,veracity,The <blank> had been beyond question.
4,vernacular,The <blank> had been used throughout the poem.
4,vernacular,She had written in the <blank> of the region.
4,vernacular,His <blank> had been the dialect of the street.
4,vernacular,The <blank> had been colourful but obscure.
4,vernacular,She had studied the <blank> of the period.
4,vernacular,The <blank> had been the language of the people.
4,vernacular,His <blank> had been hard for outsiders to follow.
4,vernacular,The <blank> architecture had been simple and local.
4,vernacular,She had translated the <blank> into standard English.
4,vernacular,The <blank> had been preserved in the recording.
4,vigorously,She had <blank> denied the accusation.
4,vigorously,The <blank> protest had been heard.
4,vigorously,His <blank> defence had won the day.
4,vigorously,The <blank> campaign had changed minds.
4,vigorously,She had <blank> shaken his hand.
4,vigorously,The <blank> exercise had left her breathless.
4,vigorously,His <blank> opposition had been noted.
4,vigorously,The <blank> debate had continued for hours.
4,vigorously,She had <blank> objected to the plan.
4,vigorously,The <blank> had been the only response.
4,vindictive,The <blank> ex-wife had spread rumours about him.
4,vindictive,She had been shocked by his <blank> behaviour.
4,vindictive,His <blank> nature had been the subject of the article.
4,vindictive,The <blank> prosecution had been widely criticised.
4,vindictive,She had refused to be <blank>.
4,vindictive,The <blank> sentence had been appealed.
4,vindictive,His <blank> streak had emerged after the split.
4,vindictive,The <blank> act had been condemned.
4,vindictive,She had been the target of a <blank> campaign.
4,vindictive,The <blank> had been personal.
4,vivacious,The <blank> hostess had kept the party going.
4,vivacious,She had been a <blank> child.
4,vivacious,His <blank> personality had lit up the room.
4,vivacious,The <blank> performance had brought the house down.
4,vivacious,She had been <blank> and full of life.
4,vivacious,The <blank> red had been her favourite colour.
4,vivacious,His <blank> humour had been infectious.
4,vivacious,The <blank> spirit had been undimmed by age.
4,vivacious,She had written a <blank> account of the trip.
4,vivacious,The <blank> had been the highlight of the evening.
4,vociferous,The <blank> minority had shouted down the speaker.
4,vociferous,She had been a <blank> critic of the policy.
4,vociferous,His <blank> opposition had been noted.
4,vociferous,The <blank> crowd had demanded action.
4,vociferous,She had been <blank> in her support.
4,vociferous,The <blank> protest had been heard in the next street.
4,vociferous,His <blank> complaints had been ignored.
4,vociferous,The <blank> debate had continued late into the night.
4,vociferous,She had been <blank> but not persuasive.
4,vociferous,The <blank> had been the only response.
4,voluminous,The <blank> correspondence had taken a week to read.
4,voluminous,She had worn a <blank> skirt to the ball.
4,voluminous,His <blank> writings had filled a library.
4,voluminous,The <blank> report had been summarised for the board.
4,voluminous,She had taken <blank> notes.
4,voluminous,The <blank> cloak had hidden her figure.
4,voluminous,His <blank> output had been the envy of his peers.
4,voluminous,The <blank> sleeves had been the fashion that year.
4,voluminous,She had produced a <blank> body of work.
4,voluminous,The <blank> had been impressive.
4,voracious,The <blank> reader had finished the book in a day.
4,voracious,She had been a <blank> collector of facts.
4,voracious,His <blank> appetite had been the stuff of legend.
4,voracious,The <blank> predator had been at the top of the food chain.
4,voracious,She had a <blank> curiosity about the world.
4,voracious,The <blank> consumer had bought everything in sight.
4,voracious,His <blank> hunger for success had driven him on.
4,voracious,The <blank> insect had stripped the leaves.
4,voracious,She had been <blank> for news of the war.
4,voracious,The <blank> had been insatiable.
4,voyeuristic,The <blank> interest of the press had been condemned.
4,voyeuristic,She had found the <blank> coverage distasteful.
4,voyeuristic,His <blank> tendencies had been noted.
4,voyeuristic,The <blank> pleasure had been the appeal of the show.
4,voyeuristic,She had accused the film of <blank> voyeurism.
4,voyeuristic,The <blank> gaze had made her uncomfortable.
4,voyeuristic,His <blank> curiosity had got him into trouble.
4,voyeuristic,The <blank> nature of the programme had been criticised.
4,voyeuristic,She had refused to indulge <blank> instincts.
4,voyeuristic,The <blank> had been the subject of the essay.
